,Word,Graphemes,Word Length,Number of Graphemes,Number of Vowels,Number of Consonants,Characters per Grapheme
4763,jeep,j-ee-p,4,3,2,2,1.3333333333333333
4764,jeff,j-e-ff,4,3,1,3,1.3333333333333333
4765,jefferson,j-e-ff-er-s-o-n,9,7,3,6,1.2857142857142858
4766,jeffrey,j-e-ff-re-y,7,5,2,5,1.4
4767,jelsoft,j-e-l-s-o-ft,7,6,2,5,1.1666666666666667
4768,jennifer,j-e-nn-i-fe-r,8,6,3,5,1.3333333333333333
4769,jenny,j-e-nn-y,5,4,1,4,1.25
4770,jeremy,j-er-e-m-y,6,5,2,4,1.2
4771,jerry,j-e-rr-y,5,4,1,4,1.25
4772,jersey,j-er-s-ey,6,4,2,4,1.5
4773,jerusalem,j-er-u-s-al-e-m,9,7,4,5,1.2857142857142858
4774,jesse,j-e-ss-e,5,4,2,3,1.25
4775,jessica,j-e-ss-i-c-a,7,6,3,4,1.1666666666666667
4776,jesus,j-e-s-u-s,5,5,2,3,1.0
4777,jet,j-e-t,3,3,1,2,1.0
4778,jets,j-e-ts,4,3,1,3,1.3333333333333333
4779,jewel,j-ew-el,5,3,2,3,1.6666666666666667
4780,jewellery,j-ew-e-ll-er-y,9,6,3,6,1.5
4781,jewelry,j-ew-e-l-r-y,7,6,2,5,1.1666666666666667
4782,jewish,j-ew-i-sh,6,4,2,4,1.5
4783,jews,j-ew-s,4,3,1,3,1.3333333333333333
4784,jill,j-i-ll,4,3,1,3,1.3333333333333333
4785,jim,j-i-m,3,3,1,2,1.0
4786,jimmy,j-i-mm-y,5,4,1,4,1.25
4787,joan,j-oa-n,4,3,2,2,1.3333333333333333
4788,job,j-o-b,3,3,1,2,1.0
4789,jobs,j-o-b-s,4,4,1,3,1.0
4790,joe,j-oe,3,2,2,1,1.5
4791,joel,j-oe-l,4,3,2,2,1.3333333333333333
4792,john,j-oh-n,4,3,1,3,1.3333333333333333
4793,johnny,j-oh-nn-y,6,4,1,5,1.5
4794,johns,j-oh-n-s,5,4,1,4,1.25
4795,johnson,j-oh-n-s-o-n,7,6,2,5,1.1666666666666667
4796,johnston,j-oh-n-st-o-n,8,6,2,6,1.3333333333333333
4797,join,j-oi-n,4,3,2,2,1.3333333333333333
4798,joined,j-oi-n-ed,6,4,3,3,1.5
4799,joining,j-oi-n-i-ng,7,5,3,4,1.4
4800,joins,j-oi-n-s,5,4,2,3,1.25
4801,joint,j-oi-nt,5,3,2,3,1.6666666666666667
4802,joke,j-o-ke,4,3,2,2,1.3333333333333333
4803,jokes,j-o-ke-s,5,4,2,3,1.25
4804,jon,j-o-n,3,3,1,2,1.0
4805,jonathan,j-o-n-a-th-a-n,8,7,3,5,1.1428571428571428
4806,jones,j-o-ne-s,5,4,2,3,1.25
4807,jordan,j-or-d-a-n,6,5,2,4,1.2
4808,jose,j-o-se,4,3,2,2,1.3333333333333333
4809,joseph,j-o-se-ph,6,4,2,4,1.5
4810,josh,j-o-sh,4,3,1,3,1.3333333333333333
4811,joshua,j-o-sh-ua,6,4,3,3,1.5
4812,journal,j-ou-r-n-al,7,5,3,4,1.4
4813,journalism,j-ou-r-n-al-is-m,10,7,4,6,1.4285714285714286
4814,journalist,j-ou-r-n-al-i-st,10,7,4,6,1.4285714285714286
4815,journalists,j-ou-r-n-al-i-st-s,11,8,4,7,1.375
4816,journals,j-ou-r-n-al-s,8,6,3,5,1.3333333333333333
4817,journey,j-ou-r-ne-y,7,5,3,4,1.4
4818,joy,j-oy,3,2,1,2,1.5
4819,joyce,j-oy-ce,5,3,2,3,1.6666666666666667
4820,jp,j-p,2,2,0,2,1.0
4821,jpeg,j-pe-g,4,3,1,3,1.3333333333333333
4822,jpg,j-p-g,3,3,0,3,1.0
4823,juan,j-ua-n,4,3,2,2,1.3333333333333333
4824,judge,j-u-d-ge,5,4,2,3,1.25
4825,judges,j-u-d-ge-s,6,5,2,4,1.2
4826,judgment,j-u-d-g-me-nt,8,6,2,6,1.3333333333333333
4827,judicial,j-u-di-ci-al,8,5,4,4,1.6
4828,judy,j-u-d-y,4,4,1,3,1.0
4829,juice,j-ui-ce,5,3,3,2,1.6666666666666667
4830,jul,j-u-l,3,3,1,2,1.0
4831,julia,j-u-l-ia,5,4,3,2,1.25
4832,julian,j-u-l-ia-n,6,5,3,3,1.2
4833,julie,j-u-l-ie,5,4,3,2,1.25
4834,july,j-u-l-y,4,4,1,3,1.0
4835,jump,j-u-m-p,4,4,1,3,1.0
4836,jumping,j-u-m-p-i-ng,7,6,2,5,1.1666666666666667
4837,jun,j-u-n,3,3,1,2,1.0
4838,junction,j-u-nc-ti-o-n,8,6,3,5,1.3333333333333333
4839,june,j-u-ne,4,3,2,2,1.3333333333333333
4840,jungle,j-u-ng-le,6,4,2,4,1.5
4841,junior,j-u-n-io-r,6,5,3,3,1.2
4842,junk,j-u-n-k,4,4,1,3,1.0
4843,jurisdiction,j-u-r-i-d-si-c-ti-o-n,12,10,5,7,1.2
4844,jury,j-ur-y,4,3,1,3,1.3333333333333333
4845,just,j-u-st,4,3,1,3,1.3333333333333333
4846,justice,j-u-st-i-ce,7,5,3,4,1.4
4847,justify,j-u-st-i-f-y,7,6,2,5,1.1666666666666667
4848,justin,j-u-st-i-n,6,5,2,4,1.2
4849,juvenile,j-u-ve-n-i-le,8,6,4,4,1.3333333333333333
4850,jvc,j-v-c,3,3,0,3,1.0
4851,kai,k-ai,3,2,2,1,1.5
4852,kansas,k-a-n-s-as,6,5,2,4,1.2
4853,karaoke,k-ar-ao-ke,7,4,4,3,1.75
4854,karen,k-ar-e-n,5,4,2,3,1.25
4855,karl,k-ar-l,4,3,1,3,1.3333333333333333
4856,karma,k-ar-m-a,5,4,2,3,1.25
4857,kate,k-a-te,4,3,2,2,1.3333333333333333
4858,kathy,k-a-th-y,5,4,1,4,1.25
4859,katie,k-a-t-ie,5,4,3,2,1.25
4860,katrina,k-a-t-r-i-n-a,7,7,3,4,1.0
4861,kay,k-ay,3,2,1,2,1.5
4862,kazakhstan,k-a-z-a-kh-st-a-n,10,8,3,7,1.25
4863,keen,k-ee-n,4,3,2,2,1.3333333333333333
4864,keep,k-ee-p,4,3,2,2,1.3333333333333333
4865,keeping,k-ee-p-i-ng,7,5,3,4,1.4
4866,keeps,k-ee-ps,5,3,2,3,1.6666666666666667
4867,keith,k-ei-th,5,3,2,3,1.6666666666666667
4868,kelkoo,k-e-l-k-oo,6,5,3,3,1.2
4869,kelly,k-e-ll-y,5,4,1,4,1.25
4870,ken,k-e-n,3,3,1,2,1.0
4871,kennedy,k-e-nn-e-d-y,7,6,2,5,1.1666666666666667
4872,kenneth,k-e-nn-e-th,7,5,2,5,1.4
4873,kenny,k-e-nn-y,5,4,1,4,1.25
4874,kent,k-e-nt,4,3,1,3,1.3333333333333333
4875,kentucky,k-e-nt-u-ck-y,8,6,2,6,1.3333333333333333
4876,kenya,k-e-n-y-a,5,5,2,3,1.0
4877,kept,k-e-pt,4,3,1,3,1.3333333333333333
4878,kernel,k-er-n-el,6,4,2,4,1.5
4879,kerry,k-e-rr-y,5,4,1,4,1.25
4880,kevin,k-e-v-i-n,5,5,2,3,1.0
4881,key,k-e-y,3,3,1,2,1.0
4882,keyboard,k-e-y-b-oa-r-d,8,7,3,5,1.1428571428571428
4883,keyboards,k-e-y-b-oa-r-d-s,9,8,3,6,1.125
4884,keys,k-e-y-s,4,4,1,3,1.0
4885,keyword,k-e-y-w-or-d,7,6,2,5,1.1666666666666667
4886,keywords,k-e-y-w-or-d-s,8,7,2,6,1.1428571428571428
4887,kick,k-i-ck,4,3,1,3,1.3333333333333333
4888,kid,k-i-d,3,3,1,2,1.0
4889,kidney,k-i-d-ne-y,6,5,2,4,1.2
4890,kids,k-i-d-s,4,4,1,3,1.0
4891,kill,k-i-ll,4,3,1,3,1.3333333333333333
4892,killed,k-i-ll-ed,6,4,2,4,1.5
4893,killer,k-i-ll-er,6,4,2,4,1.5
4894,killing,k-i-ll-i-ng,7,5,2,5,1.4
4895,kills,k-i-ll-s,5,4,1,4,1.25
4896,kilometers,k-i-l-o-me-t-er-s,10,8,4,6,1.25
4897,kim,k-i-m,3,3,1,2,1.0
4898,kinase,k-i-n-a-se,6,5,3,3,1.2
4899,kind,k-i-nd,4,3,1,3,1.3333333333333333
4900,kinda,k-i-nd-a,5,4,2,3,1.25
4901,kinds,k-i-nd-s,5,4,1,4,1.25
4902,king,k-i-ng,4,3,1,3,1.3333333333333333
4903,kingdom,k-i-ng-d-o-m,7,6,2,5,1.1666666666666667
4904,kings,k-i-ng-s,5,4,1,4,1.25
4905,kingston,k-i-ng-st-o-n,8,6,2,6,1.3333333333333333
4906,kirk,k-ir-k,4,3,1,3,1.3333333333333333
4907,kiss,k-i-ss,4,3,1,3,1.3333333333333333
4908,kissing,k-i-ss-i-ng,7,5,2,5,1.4
4909,kit,k-it,3,2,1,2,1.5
4910,kitchen,k-it-ch-e-n,7,5,2,5,1.4
4911,kits,k-it-s,4,3,1,3,1.3333333333333333
4912,kitty,k-i-tt-y,5,4,1,4,1.25
4913,klein,k-le-i-n,5,4,2,3,1.25
4914,knee,kn-ee,4,2,2,2,2.0
4915,knew,kn-ew,4,2,1,3,2.0
4916,knife,kn-i-fe,5,3,2,3,1.6666666666666667
4917,knight,kn-igh-t,6,3,1,5,2.0
4918,knights,kn-igh-t-s,7,4,1,6,1.75
4919,knit,kn-it,4,2,1,3,2.0
4920,knitting,kn-i-tt-i-ng,8,5,2,6,1.6
4921,knives,kn-i-ve-s,6,4,2,4,1.5
4922,knock,kn-o-ck,5,3,1,4,1.6666666666666667
4923,know,kn-ow,4,2,1,3,2.0
4924,knowing,kn-ow-i-ng,7,4,2,5,1.75
4925,knowledge,kn-ow-le-dge,9,4,3,6,2.25
4926,knowledgestorm,kn-ow-le-dge-st-or-m,14,7,4,10,2.0
4927,known,kn-ow-n,5,3,1,4,1.6666666666666667
4928,knows,kn-ow-s,5,3,1,4,1.6666666666666667
4929,kodak,k-o-d-a-k,5,5,2,3,1.0
4930,kong,k-o-ng,4,3,1,3,1.3333333333333333
4931,korea,k-o-r-ea,5,4,3,2,1.25
4932,korean,k-o-r-ea-n,6,5,3,3,1.2
4933,kruger,k-r-u-g-er,6,5,2,4,1.2
4934,kurt,k-ur-t,4,3,1,3,1.3333333333333333
4935,kuwait,k-u-w-ai-t,6,5,3,3,1.2
4936,kyle,k-y-le,4,3,1,3,1.3333333333333333
4937,la,l-a,2,2,1,1,1.0
4938,lab,l-a-b,3,3,1,2,1.0
4939,label,l-a-b-e-l,5,5,2,3,1.0
4940,labeled,l-a-b-e-l-ed,7,6,3,4,1.1666666666666667
4941,labels,l-a-b-e-l-s,6,6,2,4,1.0
4942,labor,l-a-b-or,5,4,2,3,1.25
4943,laboratories,l-a-b-or-a-t-or-ie-s,12,9,6,6,1.3333333333333333
4944,laboratory,l-a-b-or-a-t-or-y,10,8,4,6,1.25
4945,labour,l-a-b-our,6,4,3,3,1.5
4946,labs,l-a-b-s,4,4,1,3,1.0
4947,lace,l-a-ce,4,3,2,2,1.3333333333333333
4948,lack,l-a-ck,4,3,1,3,1.3333333333333333
4949,ladder,l-a-dd-er,6,4,2,4,1.5
4950,laden,l-a-de-n,5,4,2,3,1.25
4951,ladies,l-a-di-es,6,4,3,3,1.5
4952,lady,l-a-d-y,4,4,1,3,1.0
4953,lafayette,l-a-f-ay-e-tt-e,9,7,4,5,1.2857142857142858
4954,laid,l-ai-d,4,3,2,2,1.3333333333333333
4955,lake,l-a-ke,4,3,2,2,1.3333333333333333
4956,lakes,l-a-ke-s,5,4,2,3,1.25
4957,lamb,l-a-mb,4,3,1,3,1.3333333333333333
4958,lambda,l-a-mb-d-a,6,5,2,4,1.2
4959,lamp,l-a-m-p,4,4,1,3,1.0
4960,lamps,l-a-m-ps,5,4,1,4,1.25
4961,lan,l-a-n,3,3,1,2,1.0
4962,lancaster,l-a-n-c-a-st-er,9,7,3,6,1.2857142857142858
4963,lance,l-a-nc-e,5,4,2,3,1.25
4964,land,l-a-nd,4,3,1,3,1.3333333333333333
4965,landing,l-a-nd-i-ng,7,5,2,5,1.4
4966,lands,l-a-nd-s,5,4,1,4,1.25
4967,landscape,l-a-nd-sc-a-pe,9,6,3,6,1.5
4968,landscapes,l-a-nd-sc-a-pe-s,10,7,3,7,1.4285714285714286
4969,lane,l-a-ne,4,3,2,2,1.3333333333333333
4970,lanes,l-a-ne-s,5,4,2,3,1.25
4971,lang,l-a-ng,4,3,1,3,1.3333333333333333
4972,language,l-a-n-gu-a-ge,8,6,4,4,1.3333333333333333
4973,languages,l-a-n-gu-a-ge-s,9,7,4,5,1.2857142857142858
4974,lanka,l-a-n-k-a,5,5,2,3,1.0
4975,laos,l-ao-s,4,3,2,2,1.3333333333333333
4976,lap,l-a-p,3,3,1,2,1.0
4977,laptop,l-a-p-t-o-p,6,6,2,4,1.0
4978,laptops,l-a-p-t-o-ps,7,6,2,5,1.1666666666666667
4979,large,l-ar-ge,5,3,2,3,1.6666666666666667
4980,largely,l-ar-ge-l-y,7,5,2,5,1.4
4981,larger,l-ar-g-er,6,4,2,4,1.5
4982,largest,l-ar-g-e-st,7,5,2,5,1.4
4983,larry,l-a-rr-y,5,4,1,4,1.25
4984,las,l-as,3,2,1,2,1.5
4985,laser,l-a-se-r,5,4,2,3,1.25
4986,last,l-a-st,4,3,1,3,1.3333333333333333
4987,lasting,l-a-st-i-ng,7,5,2,5,1.4
4988,lat,l-at,3,2,1,2,1.5
4989,late,l-a.e-t,4,3,2,2,1.3333333333333333
4990,lately,l-a.e-t-l-y,6,5,2,4,1.2
4991,later,l-a.e-t-r,5,4,2,3,1.25
4992,latest,l-a.e-t-st,6,4,2,4,1.5
4993,latex,l-a.e-t-x,5,4,2,3,1.25
4994,latin,l-at-i-n,5,4,2,3,1.25
4995,latina,l-at-i-n-a,6,5,3,3,1.2
4996,latinas,l-at-i-n-a-s,7,6,3,4,1.1666666666666667
4997,latino,l-at-i-n-o,6,5,3,3,1.2
4998,latitude,l-at-it-u-de,8,5,4,4,1.6
4999,latter,l-a-tt-er,6,4,2,4,1.5
5000,latvia,l-at-v-ia,6,4,3,3,1.5
5001,lauderdale,l-au-d-er-d-a-le,10,7,5,5,1.4285714285714286
5002,laugh,l-a-u-gh,5,4,2,3,1.25
5003,laughing,l-a-u-gh-i-ng,8,6,3,5,1.3333333333333333
5004,launch,l-au-n-ch,6,4,2,4,1.5
5005,launched,l-au-n-ch-ed,8,5,3,5,1.6
5006,launches,l-au-n-ch-es,8,5,3,5,1.6
5007,laundry,l-au-nd-r-y,7,5,2,5,1.4
5008,laura,l-au-r-a,5,4,3,2,1.25
5009,lauren,l-a-u-re-n,6,5,3,3,1.2
5010,law,l-aw,3,2,1,2,1.5
5011,lawn,l-aw-n,4,3,1,3,1.3333333333333333
5012,lawrence,l-aw-re-nc-e,8,5,3,5,1.6
5013,laws,l-aw-s,4,3,1,3,1.3333333333333333
5014,lawsuit,l-aw-s-ui-t,7,5,3,4,1.4
5015,lawyer,l-aw-y-er,6,4,2,4,1.5
5016,lawyers,l-aw-y-er-s,7,5,2,5,1.4
5017,lay,l-ay,3,2,1,2,1.5
5018,layer,l-ay-er,5,3,2,3,1.6666666666666667
5019,layers,l-ay-er-s,6,4,2,4,1.5
5020,layout,l-ay-ou-t,6,4,3,3,1.5
5021,lazy,l-a-z-y,4,4,1,3,1.0
5022,lb,l-b,2,2,0,2,1.0
5023,lbs,l-b-s,3,3,0,3,1.0
5024,lcd,l-c-d,3,3,0,3,1.0
5025,lead,l-ea-d,4,3,2,2,1.3333333333333333
5026,leader,l-ea-d-er,6,4,3,3,1.5
5027,leaders,l-ea-d-er-s,7,5,3,4,1.4
5028,leadership,l-ea-d-er-sh-i-p,10,7,4,6,1.4285714285714286
5029,leading,l-ea-d-i-ng,7,5,3,4,1.4
5030,leads,l-ea-d-s,5,4,2,3,1.25
5031,leaf,l-ea-f,4,3,2,2,1.3333333333333333
5032,league,l-ea-g-ue,6,4,4,2,1.5
5033,lean,l-ea-n,4,3,2,2,1.3333333333333333
5034,learn,le-ar-n,5,3,2,3,1.6666666666666667
5035,learned,le-ar-n-ed,7,4,3,4,1.75
5036,learners,le-ar-n-er-s,8,5,3,5,1.6
5037,learning,le-ar-n-i-ng,8,5,3,5,1.6
5038,lease,le-a-se,5,3,3,2,1.6666666666666667
5039,leasing,le-a-s-i-ng,7,5,3,4,1.4
5040,least,le-a-st,5,3,2,3,1.6666666666666667
5041,leather,le-a-th-er,7,4,3,4,1.75
5042,leave,le-a-ve,5,3,3,2,1.6666666666666667
5043,leaves,le-a-ve-s,6,4,3,3,1.5
5044,leaving,le-a-v-i-ng,7,5,3,4,1.4
5045,lebanon,le-b-a-n-o-n,7,6,3,4,1.1666666666666667
5046,lecture,le-ct-u-re,7,4,3,4,1.75
5047,lectures,le-ct-u-re-s,8,5,3,5,1.6
5048,led,l-e-d,3,3,1,2,1.0
5049,lee,l-ee,3,2,2,1,1.5
5050,leeds,l-ee-d-s,5,4,2,3,1.25
5051,left,l-e-ft,4,3,1,3,1.3333333333333333
5052,leg,l-e-g,3,3,1,2,1.0
5053,legacy,l-e-g-a-c-y,6,6,2,4,1.0
5054,legal,le-g-al,5,3,2,3,1.6666666666666667
5055,legally,le-g-a-ll-y,7,5,2,5,1.4
5056,legend,le-ge-nd,6,3,2,4,2.0
5057,legendary,le-ge-nd-ar-y,9,5,3,6,1.8
5058,legends,le-ge-nd-s,7,4,2,5,1.75
5059,legislation,le-gi-s-l-a-ti-o-n,11,8,5,6,1.375
5060,legislative,le-gi-s-l-a-t-i-ve,11,8,5,6,1.375
5061,legislature,le-gi-s-l-a-t-u-re,11,8,5,6,1.375
5062,legitimate,le-gi-t-i-m-a-te,10,7,5,5,1.4285714285714286
5063,legs,l-e-g-s,4,4,1,3,1.0
5064,leisure,le-i-s-u-re,7,5,4,3,1.4
5065,lemon,le-m-o-n,5,4,2,3,1.25
5066,len,l-e-n,3,3,1,2,1.0
5067,lender,l-e-n-d-er,6,5,2,4,1.2
5068,lenders,l-e-n-d-er-s,7,6,2,5,1.1666666666666667
5069,lending,l-e-n-d-i-ng,7,6,2,5,1.1666666666666667
5070,length,l-e-ng-th,6,4,1,5,1.5
5071,lens,l-e-n-s,4,4,1,3,1.0
5072,lenses,l-e-n-s-es,6,5,2,4,1.2
5073,leo,l-eo,3,2,2,1,1.5
5074,leon,l-eo-n,4,3,2,2,1.3333333333333333
5075,leonard,l-eo-n-ar-d,7,5,3,4,1.4
5076,leone,l-eo-ne,5,3,3,2,1.6666666666666667
5077,les,l-es,3,2,1,2,1.5
5078,lesbian,l-es-b-ia-n,7,5,3,4,1.4
5079,lesbians,l-es-b-ia-n-s,8,6,3,5,1.3333333333333333
5080,leslie,l-es-l-ie,6,4,3,3,1.5
5081,less,le-ss,4,2,1,3,2.0
5082,lesser,le-ss-er,6,3,2,4,2.0
5083,lesson,le-ss-o-n,6,4,2,4,1.5
5084,lessons,le-ss-o-n-s,7,5,2,5,1.4
5085,let,l-et,3,2,1,2,1.5
5086,lets,l-et-s,4,3,1,3,1.3333333333333333
5087,letter,l-e-tt-er,6,4,2,4,1.5
5088,letters,l-e-tt-er-s,7,5,2,5,1.4
5089,letting,l-e-tt-i-ng,7,5,2,5,1.4
5090,leu,l-eu,3,2,2,1,1.5
5091,level,le-ve-l,5,3,2,3,1.6666666666666667
5092,levels,le-ve-l-s,6,4,2,4,1.5
5093,levitra,le-v-i-t-r-a,7,6,3,4,1.1666666666666667
5094,levy,le-v-y,4,3,1,3,1.3333333333333333
5095,lewis,le-wi-s,5,3,2,3,1.6666666666666667
5096,lexington,le-x-i-ng-t-o-n,9,7,3,6,1.2857142857142858
5097,lexmark,le-x-m-ar-k,7,5,2,5,1.4
5098,lexus,le-x-u-s,5,4,2,3,1.25
5099,liabilities,l-ia-b-i-l-i-t-i-es,11,9,6,5,1.2222222222222223
5100,liability,l-ia-b-i-l-i-t-y,9,8,4,5,1.125
5101,liable,l-ia-b-le,6,4,3,3,1.5
5102,lib,l-i-b,3,3,1,2,1.0
5103,liberal,l-i-b-er-al,7,5,3,4,1.4
5104,liberia,l-i-b-er-ia,7,5,4,3,1.4
5105,liberty,l-i-b-er-t-y,7,6,2,5,1.1666666666666667
5106,librarian,l-i-b-r-ar-ia-n,9,7,4,5,1.2857142857142858
5107,libraries,l-i-b-r-ar-ie-s,9,7,4,5,1.2857142857142858
5108,library,l-i-b-r-ar-y,7,6,2,5,1.1666666666666667
5109,libs,l-i-b-s,4,4,1,3,1.0
5110,licence,l-i-ce-n-ce,7,5,3,4,1.4
5111,license,l-i-ce-n-se,7,5,3,4,1.4
5112,licensed,l-i-ce-n-s-ed,8,6,3,5,1.3333333333333333
5113,licenses,l-i-ce-n-s-es,8,6,3,5,1.3333333333333333
5114,licensing,l-i-ce-n-s-i-ng,9,7,3,6,1.2857142857142858
5115,licking,l-i-ck-i-ng,7,5,2,5,1.4
5116,lid,l-i-d,3,3,1,2,1.0
5117,lie,l-ie,3,2,2,1,1.5
5118,liechtenstein,l-ie-ch-te-n-st-ei-n,13,8,5,8,1.625
5119,lies,l-ie-s,4,3,2,2,1.3333333333333333
5120,life,l-i-fe,4,3,2,2,1.3333333333333333
5121,lifestyle,l-i-fe-st-y-le,9,6,3,6,1.5
5122,lifetime,l-i-fe-t-i-me,8,6,4,4,1.3333333333333333
5123,lift,l-i-ft,4,3,1,3,1.3333333333333333
5124,light,l-i-gh-t,5,4,1,4,1.25
5125,lightbox,l-i-gh-t-b-o-x,8,7,2,6,1.1428571428571428
5126,lighter,l-i-gh-t-er,7,5,2,5,1.4
5127,lighting,l-i-gh-t-i-ng,8,6,2,6,1.3333333333333333
5128,lightning,l-i-gh-t-n-i-ng,9,7,2,7,1.2857142857142858
5129,lights,l-i-gh-ts,6,4,1,5,1.5
5130,lightweight,l-i-gh-t-w-ei-gh-t,11,8,3,8,1.375
5131,like,l-i-ke,4,3,2,2,1.3333333333333333
5132,liked,l-i-k-ed,5,4,2,3,1.25
5133,likelihood,l-i-ke-l-i-h-oo-d,10,8,5,5,1.25
5134,likely,l-i-ke-l-y,6,5,2,4,1.2
5135,likes,l-i-ke-s,5,4,2,3,1.25
5136,likewise,l-i-ke-wi-se,8,5,4,4,1.6
5137,lil,l-i-l,3,3,1,2,1.0
5138,lime,l-i-me,4,3,2,2,1.3333333333333333
5139,limit,l-i-m-it,5,4,2,3,1.25
5140,limitation,l-i-m-it-a-ti-o-n,10,8,5,5,1.25
5141,limitations,l-i-m-it-a-ti-o-n-s,11,9,5,6,1.2222222222222223
5142,limited,l-i-m-it-ed,7,5,3,4,1.4
5143,limiting,l-i-m-it-i-ng,8,6,3,5,1.3333333333333333
5144,limits,l-i-m-it-s,6,5,2,4,1.2
5145,limousines,l-i-m-ou-si-n-es,10,7,5,5,1.4285714285714286
5146,lincoln,l-i-n-c-o-l-n,7,7,2,5,1.0
5147,linda,l-i-nd-a,5,4,2,3,1.25
5148,lindsay,l-i-nd-s-ay,7,5,2,5,1.4
5149,line,l-i-ne,4,3,2,2,1.3333333333333333
5150,linear,l-i-n-ea-r,6,5,3,3,1.2
5151,lined,l-i-ne-d,5,4,2,3,1.25
5152,lines,l-i-ne-s,5,4,2,3,1.25
5153,lingerie,l-i-ng-er-ie,8,5,4,4,1.6
5154,link,l-i-n-k,4,4,1,3,1.0
5155,linked,l-i-n-k-ed,6,5,2,4,1.2
5156,linking,l-i-n-k-i-ng,7,6,2,5,1.1666666666666667
5157,links,l-i-n-k-s,5,5,1,4,1.0
5158,linux,l-i-n-u-x,5,5,2,3,1.0
5159,lion,l-io-n,4,3,2,2,1.3333333333333333
5160,lions,l-io-n-s,5,4,2,3,1.25
5161,lip,l-i-p,3,3,1,2,1.0
5162,lips,l-i-ps,4,3,1,3,1.3333333333333333
5163,liquid,l-i-qu-i-d,6,5,3,3,1.2
5164,lisa,l-i-s-a,4,4,2,2,1.0
5165,list,l-i-st,4,3,1,3,1.3333333333333333
5166,listed,l-i-st-ed,6,4,2,4,1.5
5167,listen,l-i-st-e-n,6,5,2,4,1.2
5168,listening,l-i-st-e-n-i-ng,9,7,3,6,1.2857142857142858
5169,listing,l-i-st-i-ng,7,5,2,5,1.4
5170,listings,l-i-st-i-ng-s,8,6,2,6,1.3333333333333333
5171,listprice,l-i-st-p-r-i-ce,9,7,3,6,1.2857142857142858
5172,lists,l-i-st-s,5,4,1,4,1.25
5173,lit,l-it,3,2,1,2,1.5
5174,lite,l-i.e-t,4,3,2,2,1.3333333333333333
5175,literacy,l-it-er-a-c-y,8,6,3,5,1.3333333333333333
5176,literally,l-it-er-a-ll-y,9,6,3,6,1.5
5177,literary,l-it-er-ar-y,8,5,3,5,1.6
5178,literature,l-it-er-at-u-re,10,6,5,5,1.6666666666666667
5179,lithuania,l-i-th-ia-n-ia,9,6,5,4,1.5
5180,litigation,l-it-i-g-a-ti-o-n,10,8,5,5,1.25
5181,little,l-i-tt-le,6,4,2,4,1.5
5182,live,l-i-ve,4,3,2,2,1.3333333333333333
5183,livecam,l-i-ve-c-a-m,7,6,3,4,1.1666666666666667
5184,lived,l-i-ve-d,5,4,2,3,1.25
5185,liver,l-i-ve-r,5,4,2,3,1.25
5186,liverpool,l-i-ve-r-p-oo-l,9,7,4,5,1.2857142857142858
5187,lives,l-i-ve-s,5,4,2,3,1.25
5188,livesex,l-i-ve-se-x,7,5,3,4,1.4
5189,livestock,l-i-ve-st-o-ck,9,6,3,6,1.5
5190,living,l-i-v-i-ng,6,5,2,4,1.2
5191,liz,l-i-z,3,3,1,2,1.0
5192,lloyd,ll-oy-d,5,3,1,4,1.6666666666666667
5193,load,l-oa-d,4,3,2,2,1.3333333333333333
5194,loaded,l-oa-d-ed,6,4,3,3,1.5
5195,loading,l-oa-d-i-ng,7,5,3,4,1.4
5196,loads,l-oa-d-s,5,4,2,3,1.25
5197,loan,l-oa-n,4,3,2,2,1.3333333333333333
5198,loans,l-oa-n-s,5,4,2,3,1.25
5199,lobby,l-o-bb-y,5,4,1,4,1.25
5200,local,l-o-c-al,5,4,2,3,1.25
5201,locale,l-o-c-a-le,6,5,3,3,1.2
5202,locally,l-o-c-a-ll-y,7,6,2,5,1.1666666666666667
5203,locate,l-o-c-a-te,6,5,3,3,1.2
5204,located,l-o-c-a-t-ed,7,6,3,4,1.1666666666666667
5205,location,l-o-c-a-ti-o-n,8,7,4,4,1.1428571428571428
5206,locations,l-o-c-a-ti-o-n-s,9,8,4,5,1.125
5207,locator,l-o-c-a-t-or,7,6,3,4,1.1666666666666667
5208,lock,l-o-ck,4,3,1,3,1.3333333333333333
5209,locked,l-o-ck-ed,6,4,2,4,1.5
5210,locking,l-o-ck-i-ng,7,5,2,5,1.4
5211,locks,l-o-ck-s,5,4,1,4,1.25
5212,lodge,l-o-dge,5,3,2,3,1.6666666666666667
5213,lodging,l-o-dg-i-ng,7,5,2,5,1.4
5214,log,l-o-g,3,3,1,2,1.0
5215,logan,l-o-g-a-n,5,5,2,3,1.0
5216,logged,l-o-gg-ed,6,4,2,4,1.5
5217,logging,l-o-gg-i-ng,7,5,2,5,1.4
5218,logic,l-o-gi-c,5,4,2,3,1.25
5219,logical,l-o-gi-c-al,7,5,3,4,1.4
5220,login,l-o-g-i-n,5,5,2,3,1.0
5221,logistics,l-o-gi-st-i-c-s,9,7,3,6,1.2857142857142858
5222,logitech,l-o-gi-te-ch,8,5,3,5,1.6
5223,logo,l-o-g-o,4,4,2,2,1.0
5224,logos,l-o-g-o-s,5,5,2,3,1.0
5225,logs,l-o-g-s,4,4,1,3,1.0
5226,lol,l-o-l,3,3,1,2,1.0
5227,lolita,l-o-l-i-t-a,6,6,3,3,1.0
